;;;;SD_ADRESSE;nouveau;;Adresse SD;;Adresse de la structure documentaire;Insitutionnal adress;Non;O;Saisie;;Libre;SO;;;;;;;;;Texte;;;;;;;;SD;reprise d'historique IG2 selon les cas
;;;;SD_CP;nouveau;;Code postal SD;;Code postal de la structure documentaire;Postcode of Library service;Non;O;Saisie;;Libre;SO;;;;;;;;;Texte;;;;;;;;SD;reprise d'historique IG3 selon les cas
;;;;SD_VILLE;nouveau;;Ville SD;;Ville de la structure documentaire;City of Library service;Non;O;Saisie;;Libre;SO;;;;;;;;;Texte;;;;;;;;SD;reprise d'historique IG4 selon les cas
;;;;SD_SITEWEB;nouveau;;Site Web SD;;Site Web de la structure documentaire;Website of Library Service;Non;O;Saisie;;Libre;SO;;;;;;;;;Texte;;;;;;;;SD;reprise d'historique IG5 selon les cas
;;;;SD_TYPE;nouveau;;Type ;;Type de la structure documentaire;Type of Library Service;Non;O;Saisie;;Libre;SO;;;;;;;;;Texte;;;;;;;;SD;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Structure documentaire - Données annuelles;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SD;
;;;;SD_UAI;nouveau;;Code UAI SD;;Code UAI de la structure documentaire;UAI code;Non;O;Saisie;;Libre;SO;;;;;;;;;Texte;;;;;;;;SD;
;;;;SD_ILN;nouveau;;ILN;;ILN - Internal library number;International library number (ILN);Non;O;Saisie;;Libre;SO;;;;;;;;;Texte;;;;;;;;SD;
;;;;SD_RCR;nouveau;;numéro(s) RCR;;numéro(s) du RCR (répertoire des centres de ressources) non attribué(s) à une bibliothèque physique;RCR (Resource Centre Directory) number(s) not assigned to a physical library;Non;O;Saisie;;Libre;SO;;;;;;;;;Texte (chiffres uniquement);;;;;;;;SD;"si plusieurs RCR, saisie à la suite séparée par point virgule
Wikipédia : L'identifiant RCR se compose de 9 chiffres (les 2 premiers chiffres correspondent au numéro du département, les 3 suivants au code Insee de la commune, les 2 suivants au type de bibliothèque, et les 2 derniers au numéro séquentiel)"
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Utilisateurs (Mise à jour à venir);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;nouveau;;;;;;;;Auto;;;;;;;;;;;;;;;;;;;;;
;;;;;nouveau;;;;;;;;Saisie;;Liste non modifiable;;;;;;;;;;;;;;;;;;;
;;;;;IG6;;;;;;;O;Saisie;;;O;O;;;;;;;;Texte;;;;;;;;;
;;;;;IG7;;;;;;;O;Saisie;;;O;O;;;;;;;;Texte;;;;;;;;;
;;;;;IG8;;;;;;;O;Saisie;;;O;O;;;;;;;;Texte;;;;;;;;;
;;;;;IG9;;;;;;;O;Saisie;;;O;O;;;;;;;;Texte;;;;;;;;;
;;;;;nouveau;;;;;;;O;Saisie;;Liste non modifiable (choix multiple ?);;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Niveau 1
(Formulaire)";"Niveau 2
(Groupe)";"Niveau 3
(sous-groupe)";"Niveau 4
(sous-sous-groupe)";Nouveau Code;Ancien Code;Code Donnée Indicateurs Européens (DXX);Libellé de la donnée (FR);Libellé de la donnée (EN);Texte explicatif de la donnée (FR);Texte explicatif de la donnée (EN);Consigne de saisie MESRI existante;Donnée de l'année N-1 proposée par défaut O/N;Donnée à saisir ou calculée;Formule de calcul;Type de saisie;Champ actif pour 2018;;Variable 2013;Variable 2014;Variable 2015;Variable 2016;Variable 2017;Variable 2018;Variable 2019;Format de la donnée (texte, nombre, monétaire €, binaire);Unité de mesure de la donnée si format nombre ;Période ou date de la mesure (année civile, au 31/12);Valeur Min;Valeur Max => ;Alerte BL/NBL sur valeur max;Texte de l'alerte;% Evolution Max (alerte NBL);Granularité;Remarque / question
Moyens;;;;;;;;;;;Oui;;Titre N1;;Non;O;;;;;;;;;Intitulé;;;;;;;;Ensemble;
;;;;MOY_UNITE;Budg1;;Montants HT, TTC, HTR;;Indiquez si les montants sont notés HT, TTC ou HTR;Indicate whether the amounts are noted exclusive of tax, inclusive of tax or HTR.;Oui;N;Saisie;;Liste non modifiable  choix unique;O;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;Texte;;année civile;;;;;;Ensemble;"valeur par défaut à NULL ?
pourait être remplacée par boutons radio"
;ressources humaines;;;;;;;;;;Non;;Titre N2;;Non;O;;;;;;;;;Intitulé;;;;;;;;Ensemble;
;;;;MOY_ETPT;Budg2;;ETPT consommés;full time equivalents worked;Nombre d'ETPT consommés;Number of full time equivalents worked;Oui;N;Saisie;;libre;O;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;ETPT;année civile;0;1 000;N-Bl;;20%;Ensemble;
;recettes;;;;;;;;;;Oui;;Titre N2;;Non;O;;;;;;;;;Intitulé;;;;;;;;Ensemble;
;;;;MOY_R_DROITSBIB;Budg3;;Droits bibliothèque;Library fees;Droits de bibliothèque perçus;Library fees collected;Oui;N;Saisie;;libre;O;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;5 000 000;N-Bl;;40%;Ensemble;
;;;;MOY_R_TUTELLE;Budg4;;Dotations établissement;Institutional allocations ??;Dotations attribuées par l'établissement sur les moyens du ministère de tutelle;Allocations made by the institution out of the resources of the supervisory ministry;Oui;N;Saisie;;libre;O;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;10 000 000;N-Bl;;40%;Ensemble;
;;;;MOY_R_COLLTERR;Budg5;;Subventions Coll. Terr;Subsidies ???;Subventions des collectivités territoriales;Subsidies from local and regional authorities;Oui;N;Saisie;;libre;O;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;2 000 000;N-Bl;;40%;Ensemble;
;;;;MOY_R_AUTREMIN;Budg6;;Dotations autres ministères;Allocations ???;Dotations en provenance d'autres ministères;Allocations from other governement departments;Oui;N;Saisie;;libre;O;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;2 000 000;N-Bl;;40%;Ensemble;
;;;;MOY_R_RESSPROP;Budg7;;Ressources propres;Own resources;Ressources propres;Own resources;Oui;N;Saisie;;libre;O;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;5 000 000;N-Bl;;40%;Ensemble;
;;;;MOY_R_AUTRES;Budg8;;Autres recettes;Other resources;Autres recettes;Other resources ;Oui;N;Saisie;;libre;O;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;10 000 000;N-Bl;;40%;Ensemble;
;;;;MOY_R_TOT;nouveau;;Total recttes hors MS;Total revenues excluding payroll;Total des recettes hors masse salatiale;Total revenues excluding payroll;SO;N;Calculée;MOY_R_DROITSBIB + MOY_R_TUTELLE + MOY_R_COLLTERR + MOY_R_AUTREMIN + MOY_R_RESSPROP + MOY_R_AUTRES;Non;O;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;;;;;20%;Ensemble;
;;;;MOY_RMS_TOT;nouveau;;Total recttes avec MS;Total revenues including payroll;Total des recettes avec masse salatiale;Total revenues including payroll;SO;N;Calculée;MOY_R_DROITSBIB + MOY_R_TUTELLE + MOY_R_COLLTERR + MOY_R_AUTREMIN + MOY_R_RESSPROP + MOY_R_AUTRES + MOY_D_MSTIT + MOY_D_MSNONTIT + MOY_D_MSAUTRE;Non;O;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;;;;;20%;Ensemble;
;dépenses;;;;;;;;;;Non;;Titre N2;;Non;O;;;;;;;;;Intitulé;;;;;;;;Ensemble;
;;masse salariale;;;;;;;;;Non;;Titre N3;;Non;N;;;;;;;;;Intitulé;;;;;;;;Ensemble;
;;;;MOY_D_MSTIT;Budg9;;MS titulaires;Payroll of statutory staff ??;Masse salariale personnels titulaires;Payroll of statutory staff ? ;Oui;N;Saisie;;libre;O;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;20 000 000;N-Bl;;20%;Ensemble;
;;;;MOY_D_MSNONTIT;Budg10;;MS non-titulaies;Payroll of casual staff ???;Masse salariale personnels non titulaires (contractuels, vacataires...);Non-tenured personal payroll (contract workers, temporary workers, etc.);Oui;N;Saisie;;libre;O;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;5 000 000;N-Bl;;20%;Ensemble;
;;;;MOY_D_MSAUTRE;Budg17;;Autre MS;Other payroll;Autre masse salariale (subventions, dotations spécifiques);Other payroll (subsidies, specific allocations);Oui;N;Saisie;;libre;O;N;FAUX;FAUX;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;2 000 000;N-Bl;;20%;Ensemble;Variable créée en 2015 - absente en 2013 et 2014 - les formules de calcul tiennent compte de cette variable et pourraient renvoyer une erreur pour 2013 et 2014
;;;;MOY_D_MS_TOT;nouveau;;Total MS;Total payroll;Total de la masse salariale;Total payroll;SO;;Calculée;MOY_D_MSTIT + MOY_D_MSNONTIT + MOY_D_MSAUTRE;Non;O;N;;;;;;;;dec2;€;année civile;;;;;20%;Ensemble;
;;autres dépenses;;;;;;;;;Non;;Titre N3;;Non;N;;;;;;;;;Intitulé;;;;;;;;Ensemble;
;;;;MOY_D_DEPDOC;Budg11;;Dépenses documentaires;Documentary expenditures;Dépenses documentaires;Documentary expenditures;Oui;N;Saisie;;libre;O;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;10 000 000;N-Bl;;20%;Ensemble;
;;;;MOY_D_MAINTENANCE;Budg12;;Maintenance et fluides;Maintenance and fluids;Maintenance et fluides;Maintenance and fluids;Oui;N;Saisie;;libre;O;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;5 000 000;N-Bl;;20%;Ensemble;
;;;;MOY_D_AUTFONCT;Budg13;;Autres dépenses de fonctionnement;Other operating expenditures;Autres dépenses de fonctionnement;Other operating expenditures;Oui;N;Saisie;;libre;O;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;5 000 000;N-Bl;;20%;Ensemble;
;;;;MOY_D_INV;Budg14;;Dépenses d'investissement;Investment expenditures;Dépenses d'investissement;Investment expenditures;Oui;N;Saisie;;libre;O;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;5 000 000;N-Bl;;20%;Ensemble;
;;;;MOY_D_NCA;Budg15;;Dépenses NCA ou NV;expenditures not allocated or counted elsewhere;Dépenses non comptées ailleurs ou non ventilées;expenditures not allocated or counted elsewhere;Oui;N;Saisie;;libre;O;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;5 000 000;N-Bl;;20%;Ensemble;
;;;;MOY_D_AUT_TOT;nouveau;;Total autres dépenses;Other expenditures - Total;Total des autres dépenses;Other expenditures - Total;SO;;Calculée;MOY_D_DEPDOC + MOY_D_MAINTENANCE + MOY_D_AUTFONCT + MOY_D_INV + MOY_D_NCA;Non;N;N;;;;;;;;dec2;€;année civile;;;;;20%;Ensemble;
;;;;MOY_D_TOT;nouveau;;Total dépenses SD;Expenditures of Library service - Total;Total des dépenses du service documentaire;Expenditures of Library service - Total;SO;;Calculée;MOY_D_MSTIT + MOY_D_MSNONTIT + MOY_D_MSAUTRE + MOY_D_DEPDOC + MOY_D_MAINTENANCE + MOY_D_AUTFONCT + MOY_D_INV + MOY_D_NCA;Non;O;N;;;;;;;;dec2;€;année civile;;;;;20%;Ensemble;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
