"Niveau 1
(Formulaire)";"Niveau 2
(Groupe)";"Niveau 3
(sous-groupe)";"Niveau 4
(sous-sous-groupe)";Nouveau Code;Ancien Code;Code Donnée Indicateurs Européens (DXX);Libellé de la donnée (FR);Libellé de la donnée (EN);Texte explicatif de la donnée (FR);Texte explicatif de la donnée (EN);Consigne de saisie MESRI existante;Donnée de l'année N-1 proposée par défaut O/N;Donnée à saisir ou calculée;Formule de calcul;Type de saisie;report N >> N+1;Variable 2013;Variable 2014;Variable 2015;Variable 2016;Variable 2017;Variable 2018;Variable 2019;Format de la donnée (texte, nombre, monétaire €, binaire);Unité de mesure de la donnée si format nombre ;Période ou date de la mesure (année civile, au 31/12);Valeur Min;Valeur Max => ;Alerte BL/NBL sur valeur max;Texte de l'alerte;Evolution Min (alerte NBL);Evolution Max (alerte NBL);Granularité;Remarque
;;;;EtabECAut;nouveau;;Autres Enseignants;;Nombre d'autres enseignants de l'établissement pour l'année N-1/N (EC non titulaires, enseignants du second degré …);Number of other teachers in the institution for the year N-1/N (non-tenured teachers, secondary school teachers ...);Non;n;Saisie;;Libre;;;;;;;;;entier;;année universitaire N-1/N;;;;;-10%;10%;ETAB;Données DGRH à intégrer par administrateur
;;;;EtabECTot;nouveau;;Total enseignants;;;;SO;n;Calculée;EtabECTit + EtabECNTit + EtabECAut;;;;;;;;;;entier;;;;;;;;;ETAB;
Etablissement - Données annuelles (internes à l'enquête);;;;;;;;;;;;;Titre N1;;;;;;;;;;;Intitulé;;;;;;;;;ETAB;
;;;;EtabDepDoc;Budg16;;Depenses doc totales etab;;Dépenses documantaires totales de l'établissement;;Oui;N;Saisie;;Libre;;;;;;;;;dec2;€;année civile;;;;;-40%;40%;ETAB;Saisie par la structure documentaire - Consigne à précisier pour cas complexes
;;;;EtabBudgTot;nouveau;;Budget établissement;;Budget total de l'établissement;Total budget of the institution;Non;N;Saisie;;Libre;;;;;;;;;dec2;€;année civile;;;;;-40%;40%;ETAB;Variable à créer et à mettre en attente - modaltés de saisie à définir
Structure documentaire - Informations générales;;;;;;;;;;;;;Titre N1;;;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;;SdNomOffi;nouveau;;Nom SD officiel;;Nom officiel de la structure documentaire;Official name of Library Service;Non;O;Saisie;;Libre;;;;;;;;;Texte;;;;;;;;;SD;reprise d'historique IG1 selon les cas
;;;;SdNomUsage;nouveau;;Nom SD Usage;;Nom d'usage de la structure documentaire;common Name of Library service;Non;O;Saisie;;Libre;;;;;;;;;Texte;;;;;;;;;SD;
;;;;SdSigle;nouveau;;Sigle SD ;;Sigle de la structure documentaire;acronym of Library service;Non;O;Saisie;;Libre;;;;;;;;;Texte;;;;;;;;;SD;
;;;;SdMarque;nouveau;;Marque SD;;Marque de la structure documentaire;Brand / Label ? of Library service;Non;O;Saisie;;Libre;;;;;;;;;Texte;;;;;;;;;SD;
;;;;SdAdresse;nouveau;;Adresse SD;;Adresse de la structure documentaire;Insitutionnal adress;Non;O;Saisie;;Libre;;;;;;;;;Texte;;;;;;;;;SD;reprise d'historique IG2 selon les cas
;;;;SdCP;nouveau;;Code postal SD;;Code postal de la structure documentaire;Postcode of Library service;Non;O;Saisie;;Libre;;;;;;;;;Texte;;;;;;;;;SD;reprise d'historique IG3 selon les cas
;;;;SdVille;nouveau;;Ville SD;;Ville de la structure documentaire;City of Library service;Non;O;Saisie;;Libre;;;;;;;;;Texte;;;;;;;;;SD;reprise d'historique IG4 selon les cas
;;;;SdCSiteWeb;nouveau;;Site Web SD;;Site Web de la structure documentaire;Website of Library Service;Non;O;Saisie;;Libre;;;;;;;;;Texte;;;;;;;;;SD;reprise d'historique IG5 selon les cas
;;;;SdType;nouveau;;Type ;;Type de la structure documentaire;Type of Library Service;Non;O;Saisie;;Libre;;;;;;;;;Texte;;;;;;;;;SD;
Structure documentaire - Données annuelles;;;;;;;;;;;;;Titre N1;;;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;;SdUAI;nouveau;;Code UAI SD;;Code UAI de la structure documentaire;UAI code;Non;O;Saisie;;Libre;;;;;;;;;Texte;;;;;;;;;SD;
;;;;SdILN;nouveau;;ILN;;ILN - Internal library number;International library number (ILN);Non;O;Saisie;;Libre;;;;;;;;;Texte;;;;;;;;;SD;
;;;;SdRCR;nouveau;;numéro(s) RCR;;numéro(s) du RCR (répertoire des centres de ressources) non attribué(s) à une bibliothèque physique;RCR (Resource Centre Directory) number(s) not assigned to a physical library;Non;O;Saisie;;Libre;;;;;;;;;Texte;;;;;;;;;SD;Si plusieurs RCR, saisie à la suite séparés par des points-virgule. Wikipédia : L'identifiant RCR se compose de 9 chiffres (les 2 premiers chiffres correspondent au numéro du département, les 3 suivants au code Insee de la commune, les 2 suivants au type de bibliothèque, et les 2 derniers au numéro séquentiel)
Utilisateurs;;;;;;;;;;;;;Titre N1;;;;;;;;;;;Intitulé;;;;;;;;;;
;;;;UserRole;nouveau;;Role(s) de l'utilisateur;;;;;O;Saisie;;;;;;;;;;;;;;;;;;;;;
;;;;UserPrenom;nouveau;;Prénom de l'utilisateur;;;;;O;Saisie;;;;;;;;;;;;;;;;;;;;;
;;;;UserNom;nouveau;;Nom de l'utilisateur;;;;;O;Saisie;;;;;;;;;;;;;;;;;;;;;
;;;;UserTel;nouveau;;Téléphone de l'utilisateur;;;;;O;Saisie;;;;;;;;;;;;;;;;;;;;;
;;;;UserMel;nouveau;;Mèl de l'utilisateur;;;;;O;Saisie;;;;;;;;;;;;;;;;;;;;;
Moyens;;;;;;;;;;;Oui;;Titre N1;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;;MoyUnite;Budg1;;Montants HT, TTC, HTR;;Indiquez si les montants sont notés HT, TTC ou HTR;Indicate whether the amounts are noted exclusive of tax, inclusive of tax or HTR.;Oui;N;Saisie;;Liste non modifiable  choix unique;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;Texte;;année civile;;;;;;;SD;valeur par défaut à NULL ? - pourait être remplacée par boutons radio
;ressources humaines;;;;;;;;;;Non;;Titre N2;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;;MoyETPT;Budg2;;ETPT consommés;full time equivalents worked;Nombre d'ETPT consommés;Number of full time equivalents worked;Oui;N;Saisie;;libre;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;ETPT;année civile;0;1 000;N-Bl;;-20%;20%;SD;
;recettes;;;;;;;;;;Oui;;Titre N2;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;;RecDroitsbib;Budg3;;Droits bibliothèque;Library fees;Droits de bibliothèque perçus;Library fees collected;Oui;N;Saisie;;libre;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;5 000 000;N-Bl;;-40%;40%;SD;
;;;;RecTutelle;Budg4;;Dotations établissement;Institutional allocations ??;Dotations attribuées par l'établissement sur les moyens du ministère de tutelle;Allocations made by the institution out of the resources of the supervisory ministry;Oui;N;Saisie;;libre;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;10 000 000;N-Bl;;-40%;40%;SD;
;;;;RecCollTerr;Budg5;;Subventions Coll. Terr;Subsidies ???;Subventions des collectivités territoriales;Subsidies from local and regional authorities;Oui;N;Saisie;;libre;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;2 000 000;N-Bl;;-40%;40%;SD;
;;;;RecAutMin;Budg6;;Dotations autres ministères;Allocations ???;Dotations en provenance d'autres ministères;Allocations from other governement departments;Oui;N;Saisie;;libre;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;2 000 000;N-Bl;;-40%;40%;SD;
;;;;RecRessProp;Budg7;;Ressources propres;Own resources;Ressources propres;Own resources;Oui;N;Saisie;;libre;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;5 000 000;N-Bl;;-40%;40%;SD;
;;;;RecAut;Budg8;;Autres recettes;Other resources;Autres recettes;Other resources ;Oui;N;Saisie;;libre;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;10 000 000;N-Bl;;-40%;40%;SD;
;;;;RecTot;nouveau;;Total recttes hors MS;Total revenues excluding payroll;Total des recettes hors masse salatiale;Total revenues excluding payroll;SO;N;Calculée;RecDroitsbib + RecTutelle + RecCollTerr + RecAutMin + RecRessProp + RecAut;Non;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;;;;;;;SD;
;;;;RecSalTot;nouveau;;Total recttes avec MS;Total revenues including payroll;Total des recettes avec masse salatiale;Total revenues including payroll;SO;N;Calculée;RecDroitsbib + RecTutelle + RecCollTerr + RecAutMin + RecRessProp + RecAut + DepSalTit + DepSalNonTit + DepSalAut;Non;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;;;;;;;SD;
;dépenses;;;;;;;;;;Non;;Titre N2;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;masse salariale;;;;;;;;;Non;;Titre N3;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;;DepSalTit;Budg9;;MS titulaires;Payroll of statutory staff ??;Masse salariale personnels titulaires;Payroll of statutory staff ? ;Oui;N;Saisie;;libre;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;20 000 000;N-Bl;;-20%;20%;SD;
;;;;DepSalNonTit;Budg10;;MS non-titulaies;Payroll of casual staff ???;Masse salariale personnels non titulaires (contractuels, vacataires...);Non-tenured personal payroll (contract workers, temporary workers, etc.);Oui;N;Saisie;;libre;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;5 000 000;N-Bl;;-20%;20%;SD;
;;;;DepSalAut;Budg17;;Autre MS;Other payroll;Autre masse salariale (subventions, dotations spécifiques);Other payroll (subsidies, specific allocations);Oui;N;Saisie;;libre;N;FAUX;FAUX;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;2 000 000;N-Bl;;-20%;20%;SD;Variable créée en 2015 - absente en 2013 et 2014 - les formules de calcul tiennent compte de cette variable et pourraient renvoyer une erreur pour 2013 et 2014
;;;;DepSalTot;nouveau;;Total MS;Total payroll;Total de la masse salariale;Total payroll;SO;;Calculée;DepSalTit + DepSalNonTit + DepSalAut;Non;N;;;;;;;;dec2;€;année civile;;;;;;;SD;
;;autres dépenses;;;;;;;;;Non;;Titre N3;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;;DepDepDoc;Budg11;;Dépenses documentaires;Documentary expenditures;Dépenses documentaires;Documentary expenditures;Oui;N;Saisie;;libre;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;10 000 000;N-Bl;;-40%;40%;SD;
;;;;DepMaintenance;Budg12;;Maintenance et fluides;Maintenance and fluids;Maintenance et fluides;Maintenance and fluids;Oui;N;Saisie;;libre;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;5 000 000;N-Bl;;-40%;40%;SD;
;;;;DepAut;Budg13;;Autres dépenses de fonctionnement;Other operating expenditures;Autres dépenses de fonctionnement;Other operating expenditures;Oui;N;Saisie;;libre;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;5 000 000;N-Bl;;-40%;40%;SD;
;;;;DepInv;Budg14;;Dépenses d'investissement;Investment expenditures;Dépenses d'investissement;Investment expenditures;Oui;N;Saisie;;libre;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;5 000 000;N-Bl;;-40%;40%;SD;
;;;;DepNCA;Budg15;;Dépenses NCA ou NV;expenditures not allocated or counted elsewhere;Dépenses non comptées ailleurs ou non ventilées;expenditures not allocated or counted elsewhere;Oui;N;Saisie;;libre;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;5 000 000;N-Bl;;-40%;40%;SD;
;;;;DepAutTot;nouveau;;Total autres dépenses;Other expenditures - Total;Total des autres dépenses;Other expenditures - Total;SO;;Calculée;DepDepDoc + DepMaintenance + DepAut + DepInv + DepNCA;Non;N;;;;;;;;dec2;€;année civile;;;;;;;SD;
;;;;DepTot;nouveau;;Total dépenses SD;Expenditures of Library service - Total;Total des dépenses du service documentaire;Expenditures of Library service - Total;SO;;Calculée;DepSalTit + DepSalNonTit + DepSalAut + DepDepDoc + DepMaintenance + DepAut + DepInv + DepNCA;Non;N;;;;;;;;dec2;€;année civile;;;;;;;SD;
Depenses Documentaires;;;;;;;;;;;Oui;;Titre N1;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;Dépenses d'acquisition;;;;;;;;;;Non;;Titre N2;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;Acquisition de documenttion sur support matériel;;;;;;;;;Non;;Titre N3;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;;AcqSuppLiv;DepD1;;Achat livres imprimés;Acquisition of printed books;Acquisition de livres imprimés;Acquisition of printed books;Oui;N;Saisie;;libre;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;2 000 000;N-Bl;;-40%;40%;SD;
;;;;AcqSuppPer;DepD2;;Périodiques imprimés;Printed periodicals;Périodiques imprimés;Printed periodicals;Oui;N;Saisie;;libre;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;2 000 000;N-Bl;;-40%;40%;SD;
;;;;AcqSuppAut;DepD3;;Autres documents sur support matériel;Other documentary materials ??;Autres documents sur support matériel;Other documentary materials ??;Oui;N;Saisie;;libre;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;2 000 000;N-Bl;;-40%;40%;SD;
;;;;AcqSuppTot;nouveau;;s/total dép doc support matériel;;;;SO;;Calculée;AcqSuppLiv + AcqSuppPer + AcqSuppAut;Non;;;;;;;;;dec2;€;année civile;;;;;;;SD;
;;Acquisition de documenttion numérique;;;;;;;;;Oui;;Titre N3;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;Achats définitifs;;;;;;;;Oui groupée;;Titre N4;;Non;;;;;;;;;Intitulé colonne;;;;;;;;;SD;
;;;;AchatNumTotOld;DepD4;;Total - achats définitifs;;;;Oui groupée;N;Saisie;;libre;N;VRAI;VRAI;VRAI;FAUX;FAUX;FAUX;FAUX;dec2;€;année civile;0;;;;;;SD;Variable active en 2013, 2014 et 2015 - indiquée pour reprise de l'historique - difficulté à prévoir
;;;;AchatNumLiv;DepD6;;livres électroniques;;;;Oui groupée;N;Saisie;;libre;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;5 000 000;N-Bl;;-40%;40%;SD;
;;;;AchatNumPer;DepD8;;périodiques électroniques - achats définitifs;;;;Oui groupée;N;Saisie;;libre;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;10 000 000;N-Bl;;-40%;40%;SD;
;;;;AchaNumtAut;DepD14;;autres - achats définitifs;;;;Non;N;Saisie;;libre;N;FAUX;FAUX;FAUX;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;10 000 000;N-Bl;;-40%;40%;SD;
;;;;AchatNumTot;nouveau;;s/s/total achats définitis;;;;SO;;Calculée;AchatNumLiv + AchatNumPer + AchaNumtAut;Non;;;;;;;;;dec2;€;année civile;;;;;;;SD;
;;;Abonnements;;;;;;;;Oui groupée;;Titre N4;;Non;;;;;;;;;Intitulé colonne;;;;;;;;;SD;
;;;;AbonNumTotOld;DepD5;;Total - achats abonnements;;;;Oui groupée;N;Saisie;;libre;N;VRAI;VRAI;VRAI;FAUX;FAUX;FAUX;FAUX;dec2;€;année civile;0;;;;;;SD;Variable active en 2013, 2014 et 2015 - indiquée pour reprise de l'historique - difficulté à prévoir
;;;;AbonNumLiv;DepD7;;livres électroniques - abonnements;;;;Oui groupée;N;Saisie;;libre;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;10 000 000;N-Bl;;-40%;40%;SD;
;;;;AbonNumPer;DepD9;;périodiques électroniques - abonnements;;;;Oui groupée;N;Saisie;;libre;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;10 000 000;N-Bl;;-40%;40%;SD;
;;;;AbonNumAut;DepD15;;autres - abonnements;;;;Non;N;Saisie;;libre;N;FAUX;FAUX;FAUX;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;10 000 000;N-Bl;;-40%;40%;SD;
;;;;AbonNumTot;nouveau;;s/s/total achats abonnements;;;;SO;;Calculée;AbonNumLiv + AbonNumPer + AbonNumAut;Non;;;;;;;;;dec2;€;année civile;;;;;;;SD;
;;;;AcqNumLivTot;nouveau;;s/s/total livres électroniques;;;;SO;;Calculée;AchatNumLiv + AbonNumLiv;Non;;;;;;;;;dec2;€;année civile;;;;;;;SD;
;;;;AcqNumPerTot;nouveau;;s/s/total périodiques électroniques;;;;SO;;Calculée;AchatNumPer + AbonNumPer;Non;;;;;;;;;dec2;€;année civile;;;;;;;SD;
;;;;AcqNumAutTot;nouveau;;s/s/total acquisition autre doc numérique;;;;SO;;Calculée;AchaNumtAut + AbonNumAut;Non;;;;;;;;;dec2;€;année civile;;;;;;;SD;
;;;;AcqNumTot;nouveau;;s/total dép doc numérique;;;;SO;;Calculée;AchatNumLiv + AchatNumPer + AchaNumtAut + AbonNumLiv + AbonNumPer + AbonNumAut;Non;;;;;;;;;dec2;€;année civile;;;;;;;SD;
;;Répartition des dépenses d'acquisition;;;;;;;;;Oui groupée;;Titre N3;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;;DepDPartForm;DepD10;;Part des dépenses d'acquisition consacrées à la formation (%);;;;Oui groupée;N;Saisie;;libre;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;%;année civile;0;100;Bl;;;5 points;SD;
;;;;DepDPartRec;DepD11;;Part des dépenses d'acquisition consacrées à la recherche (%);;;;Oui groupée;N;Saisie;;libre;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;%;année civile;0;100;Bl;;;5 points;SD;
;;;;DepDFormRec;nouveau;;Total   (doit être égal à 100 %);;Total des parts des dépenses consacrées à la formation et à la recherche;;;;Calculée;DepDPartForm + DepDPartRec;Non;;;;;;;;;dec2;%;année civile;;;;;;;SD;
;Autres dépenses documentaires;;;;;;;;;;Non;;Titre N2;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;;DepDConserv;DepD12;;Dépenses de conservation;;;;Oui;N;Saisie;;libre;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;2 000 000;N-Bl;;-50%;50%;SD;
;;;;DepDNumeris;DepD13;;Dépenses de numérisation;;;;Oui;N;Saisie;;libre;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;2 000 000;N-Bl;;-50%;50%;SD;
;;;;DepDAutTot;nouveau;;s/total autres dépenses documentaires;;;;SO;;Calculée;DepDConserv + DepDNumeris;Non;;;;;;;;;dec2;€;année civile;;;;;;;SD;
;;;;DepDTot;nouveau;;Total dépenses documentaires;;;;SO;;Calculée;AcqSuppLiv + AcqSuppPer + AcqSuppAut + AchatNumLiv + AchatNumPer + AchaNumtAut + AbonNumLiv + AbonNumPer + AbonNumAut + DepDConserv + DepDNumeris;Non;;;;;;;;;dec2;€;année civile;;;;;;;SD;
Archives ouvertes ou institutionnelles;;;;;;;;;;;Non;;Titre N1;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;Stocks;;;;;;;;;;Oui groupée;;Titre N2;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;;AONoticeStock;AO1;;Nombre d'unités documentaires référencées dans le système de collecte sous forme de notices uniquement;;;;Oui groupée;N;Saisie;;libre;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;U doc;31-12;0;1 000 000;N-Bl;;0%;20%;SD;
;;;;AOTexteStock;AO2;;Nombre d'unités documentaires référencées dans le système de collecte et déposées en texte intégral;;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;U doc;31-12;0;1 000 000;N-Bl;;0%;20%;SD;
;Flux;;;;;;;;;;Oui groupée;;Titre N2;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;;AONoticeFlux;AO3;;Accroissement annuel des unités documentaires référencées dans le système de collecte  sous forme de notices uniquement;;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;U doc;année civile;0;1 000 000;N-Bl;;0%;20%;SD;
;;;;AOTexteFlux;AO4;;Accroissement annuel des unités documentaires référencées dans le système de collecte et déposées en texte intégral;;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;U doc;année civile;0;1 000 000;N-Bl;;0%;20%;SD;
;Usages;;;;;;;;;;Non;;Titre N2;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;;AOVisites;AO5;;Nombre de visites sur le portail d'accès des archives ouvertes;;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;visites;année civile;0;50 000 000;N-Bl;;-40%;40%;SD;
;;;;AOTelecharg;AO6;;Nombre de téléchargements sur le portail d'accès des archives ouvertes;;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;téléchargements;année civile;0;50 000 000;N-Bl;;-40%;40%;SD;
Collections sur support matériel (Stocks);;;;;;;;;;;Oui;;Titre N1;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
