Niveau 1
(Formulaire);Niveau 2
(Groupe);Niveau 3
(sous-groupe);Niveau 4
(sous-sous-groupe);Nouveau Code;Ancien Code;Code Donnée Indicateurs Européens (DXX);Libellé de la donnée (FR);Libellé de la donnée (EN);Texte explicatif de la donnée (FR);Texte explicatif de la donnée (EN);Consigne;Donnée de l'année N-1 proposée par défaut O/N;Donnée à saisir ou calculée;Formule de calcul;Type de saisie;report N >> N+1;Variable 2013;Variable 2014;Variable 2015;Variable 2016;Variable 2017;Variable 2018;Variable 2019;Format de la donnée (texte, nombre, monétaire €, binaire);Unité de mesure de la donnée si format nombre ;Période ou date de la mesure (année civile, au 31/12);Valeur Min;Valeur Max => ;Alerte BL/NBL sur valeur max;Texte de l'alerte;Evolution Min (alerte NBL);Evolution Max (alerte NBL);Granularité;Remarque;RegEx
Etablissement - Informations générales;;;;;;;;Institution (inst.) - General information;;;;;Titre N1;;;;;;;;;;;Intitulé;;;;;;;;;ETAB;;
;;;;EtabNomOffi;nouveau;;Nom Etab officiel;Official name inst.;Nom officiel de l'établissement;Official name of the institution;Le nom officiel est un champ pré-rempli dans l’application.;O;Saisie;;Libre;O;SO;SO;SO;SO;SO;SO;SO;Texte;;;;;;;;;ETAB;reprise d'historique IG1 selon les cas;
;;;;EtabUAI;nouveau;;Code UAI Etab;UAI code  inst.;Code UAI de l'établissement;UAI code of the institution;Le code UAI est un champ pré-rempli dans l’application.;O;Saisie;;Libre;;;;;;;;;Texte;;;;;;;;;ETAB;;
;;;;EtabSiseL;nouveau;;Etudiants L N-1/N;Numberundergrad. N-1/N.;Nombre d'étudiants inscrits en niveau licence dans l'établissement pour l'année universitaire N-1/N;Number of undergraduate students enrolled in the institution for the academic year N-1/N;Le nombre d’étudiants, source DataESR;N;Saisie;;Libre;;;;;;;;;entier;inscriptions principales;année universitaire N-1/N;;;;;-10 %;10 %;ETAB;Données SISE à intégrer par administrateur;
;;;;EtabSiseM;nouveau;;Etudiants M N-1/N;Number Master enrolled N-1/N.;Nombre d'étudiants inscrits en niveau master dans l'établissement pour l'année universitaire N-1/N;Number of students enrolled in the institution at master's level for the academic year N-1/N;Le nombre d’étudiants, source DataESR;N;Saisie;;Libre;;;;;;;;;entier;inscriptions principales;année universitaire N-1/N;;;;;-10 %;10 %;ETAB;Données SISE à intégrer par administrateur;
;;;;EtabSiseD;nouveau;;Etudiants D N-1/N;Number PhD enrolled N-1/N.;Nombre d'étudiants inscrits en niveau doctorat dans l'établissement pour l'année universitaire N-1/N;Number of doctoral students enrolled in the institution for the academic year N-1/N;Le nombre d’étudiants, source DataESR;N;Saisie;;Libre;;;;;;;;;entier;inscriptions principales;année universitaire N-1/N;;;;;-10 %;10 %;ETAB;Données SISE à intégrer par administrateur;
;;;;EtabSiseTot;nouveau;;Total Etudiants;Total students;Nombre total d'étudiants inscrits dans l'établissement pour l'année universitaire N-1/N;Total number of students enrolled in the institution for the academic year N-1/N;Total calculé L-M-D;N;Calculée;EtabSiseL + EtabSiseM + EtabSiseD;Non;;;;;;;;;entier;inscriptions principales;année universitaire N-1/N;;;;;;;ETAB;;
;;;;EtabECTit;nouveau;;EC Etab titulaires N-1/N;Numb. tenured inst. teachers N-1/N.;Nombre d'enseignants chercheurs titulaires de l'établissement pour l'année N-1/N;Number of tenured permanent teachers in the institution for the academic year N-1/N;Le nombre d’enseignants chercheurs, source DataESR;N;Saisie;;Libre;;;;;;;;;entier;;année universitaire N-1/N;;;;;-10 %;10 %;ETAB;Données DGRH à intégrer par administrateur;
;;;;EtabECNTit;nouveau;;EC Etab non-titulaires N-1/N;Numb. untenured inst. teachers N-1/N.;Nombre d'enseignants chercheurs non-titulaires de l'établissement pour l'année N-1/N;Number of permanent teachers In the institution without tenure for the academic year N-1/N;Le nombre d’enseignants chercheurs, source DataESR;N;Saisie;;Libre;;;;;;;;;entier;;année universitaire N-1/N;;;;;-10 %;10 %;ETAB;Données DGRH à intégrer par administrateur;
;;;;EtabECAut;nouveau;;Autres Enseignants;Other teachers;Nombre d'autres enseignants de l'établissement pour l'année N-1/N (enseignants du second degré, ATER, maîtres de langues …);Number of other teachers in the institution for the year N-1/N (non-tenured teachers, secondary school teachers etc.);Le nombre d’enseignants chercheurs, source DataESR;n;Saisie;;Libre;;;;;;;;;entier;;année universitaire N-1/N;;;;;-10 %;10 %;ETAB;Données DGRH à intégrer par administrateur;
;;;;EtabECTot;nouveau;;Total enseignants;Total teachers;;;Total calculé des enseignants;n;Calculée;EtabECTit + EtabECNTit + EtabECAut;;;;;;;;;;entier;;;;;;;;;ETAB;;
Etablissement - Données annuelles (internes à l'enquête);;;;;;;;Institution (inst.) - Yearly data (included in survey);;;;;Titre N1;;;;;;;;;;;Intitulé;;;;;;;;;ETAB;;
;;;;EtabDepDoc;Budg16;;Depenses doc totales etab;Inst. total spending lit.;Dépenses documentaires totales de l'établissement;Total spending on literature;Total des dépenses réalisées pour des acquisitions documentaires, la conservation et la numérisation, par l’ensemble des services de l’établissement ou de l’organisme, d’après la nomenclature budgétaire. Information disponible auprès des services financiers. Cette donnée permettra de calculer la part du budget documentaire de la structure documentaire par rapport au budget documentaire total de l’université. Lorsqu'elle est une composante d’une organisation plus large, toute la dépense documentaire peut ne pas être réalisée par la structure documentaire.;N;Saisie;;Libre;;;;;;;;;dec2;€;année civile;;;;;-40 %;40 %;ETAB;Saisie par la structure documentaire - Consigne à précisier pour cas complexes;
;;;;EtabBudgTot;nouveau;;Budget établissement;Institution budget;Budget total de l'établissement;Total budget of the institution;;N;Saisie;;Libre;;;;;;;;;dec2;€;année civile;;;;;-40 %;40 %;ETAB;Variable à créer et à mettre en attente - modaltés de saisie à définir;
Structure documentaire - Informations générales;;;;;;;;Library service (LS) - General information;;;;;Titre N1;;;;;;;;;;;Intitulé;;;;;;;;;SD;;
;;;;SdNomOffi;nouveau;;Nom SD officiel;Off. LS name;Nom officiel de la structure documentaire;Official name of Library service;Indiquer le nom officiel de la structure documentaire. Les variantes sont des données facultatives.;O;Saisie;;Libre;;;;;;;;;Texte;;;;;;;;;SD;reprise d'historique IG1 selon les cas;
;;;;SdNomUsage;nouveau;;Nom SD Usage;Comm. LS name ;Nom d'usage de la structure documentaire;Common Name of Library service;Le nom d'usage est une donnée facultative.;O;Saisie;;Libre;;;;;;;;;Texte;;;;;;;;;SD;;
;;;;SdSigle;nouveau;;Sigle SD ;LS Acronym;Sigle de la structure documentaire;Acronym of Library service;Le sigle est une donnée facultative.;O;Saisie;;Libre;;;;;;;;;Texte;;;;;;;;;SD;;
;;;;SdMarque;nouveau;;Marque SD;LS Label ;Marque de la structure documentaire;Label of Library service;La marque est une donnée facultative.;O;Saisie;;Libre;;;;;;;;;Texte;;;;;;;;;SD;;
;;;;SdAdresse;nouveau;;Adresse SD; LS Address;Adresse de la structure documentaire;Library service address;Adresse : donner l’adresse postale de la direction du service.;O;Saisie;;Libre;;;;;;;;;Texte;;;;;;;;;SD;reprise d'historique IG2 selon les cas;
;;;;SdCP;nouveau;;Code postal SD; LS Postcode;Code postal de la structure documentaire;Library service postcode ;Le code postal est indiqué sans CEDEX;O;Saisie;;Libre;;;;;;;;;Texte;;;;;;;;;SD;reprise d'historique IG3 selon les cas;
;;;;SdVille;nouveau;;Ville SD; LS City;Ville de la structure documentaire;Library service city;;O;Saisie;;Libre;;;;;;;;;Texte;;;;;;;;;SD;reprise d'historique IG4 selon les cas;
;;;;SdCSiteWeb;nouveau;;Site Web SD; LS Website;Site Web de la structure documentaire;Library service website ;Site web : indiquer l’adresse du site web de la bibliothèque si elle est différente du site de l’établissement.;O;Saisie;;Libre;;;;;;;;;Texte;;;;;;;;;SD;reprise d'historique IG5 selon les cas;
;;;;SdType;nouveau;;Type ; LS Type;Type de la structure documentaire;Type of Library service;Le type de structure documentaire est un champ pré-rempli dans l’application.;O;Saisie;;Libre;;;;;;;;;Texte;;;;;;;;;SD;;
Structure documentaire - Données annuelles;;;;;;;;Library service (LS) - Yearly data;;;;;Titre N1;;;;;;;;;;;Intitulé;;;;;;;;;SD;;
;;;;SdUAI;nouveau;;Code UAI SD; LS UAI code;Code UAI de la structure documentaire;Library service UAI code;Le code UAI est un champ pré-rempli dans l’application.;O;Saisie;;Libre;;;;;;;;;Texte;;;;;;;;;SD;;
;;;;SdILN;nouveau;;ILN;ILN;ILN - Internal library number;Internal library number (ILN);Le code ILN est à renseigner pour la structure documentaire.;O;Saisie;;Libre;;;;;;;;;Texte;;;;;;;;;SD;;
;;;;SdRCR;nouveau;;numéro(s) RCR;RCR number(s);numéro(s) du RCR (répertoire des centres de ressources) non attribué(s) à une bibliothèque physique;RCR (Resource Centre Directory) number(s) not assigned to a physical library;Si la structure documentaire possède un code RCR non rattaché à une bibliothèque, il est à renseigner ici. S’il y a plusieurs RCR, ils sont à séparer par un point-virgule.;O;Saisie;;Libre;;;;;;;;;Texte;;;;;;;;;SD;Si plusieurs RCR, saisie à la suite séparés par des points-virgule. Wikipédia : L'identifiant RCR se compose de 9 chiffres (les 2 premiers chiffres correspondent au numéro du département, les 3 suivants au code Insee de la commune, les 2 suivants au type de bibliothèque, et les 2 derniers au numéro séquentiel);
Utilisateurs;;;;;;;;Users;;;;;Titre N1;;;;;;;;;;;Intitulé;;;;;;;;;;;
;;;;UserRole;nouveau;;Role(s) de l'utilisateur;User Role;;;Les rôles sont : 1 - responsable de structure documentaire pour la direction du service, 2 - responsable de l'enquête si ce rôle est distinct de la responsabilité de la structure, 3 - responsable de saisie si ce rôle est délégué pour une partie de l'enquête. Ces rôles ont des droits différents dans l'application. ;O;Saisie;;;;;;;;;;;;;;;;;;;;;;
;;;;UserPrenom;nouveau;;Prénom de l'utilisateur;User Forename;;;;O;Saisie;;;;;;;;;;;;;;;;;;;;;;
;;;;UserNom;nouveau;;Nom de l'utilisateur;User Name;;;;O;Saisie;;;;;;;;;;;;;;;;;;;;;;
;;;;UserTel;nouveau;;Téléphone de l'utilisateur;User phone no.;;;Téléphone professionnel;O;Saisie;;;;;;;;;;;;;;;;;;;;;;
;;;;UserMel;nouveau;;Mèl de l'utilisateur;User email;;;Mél professionnel;O;Saisie;;;;;;;;;;;;;;;;;;;;;;
Moyens;;;;;;;;Resources;;;Cas particulier des regroupements d’établissements - Pour les dépenses qui font l’objet d’une mutualisation au sein d’un regroupement d’établissements, trois méthodes sont détaillées ci-dessous. 1- Indiquer un prorata : cette méthode est pertinente si les dépenses font l’objet d’une clé de répartition entre les établissements. Indiquer la dépense à hauteur de ce prorata : si l’établissement ne participe pas au financement, indiquer 0. 2 - Indiquer la dépense pour un établissement : lorsque la dépense ne peut être répartie, seul l’établissement porteur de l’action à titre principal mentionne la dépense (porteur du marché, signataire de la facture, etc…). 3 - Le regroupement répond à l’ESGBU. Dans ce cas, les montants indiqués par le regroupement sont déduits des montants renseignés par les établissements qui lui sont rattachés. Ne pas intégrer dans les recettes les montants prélevés sur la dotation attribuée à l'établissement correspondant à sa participation financière à la licence nationale « Elsevier » , de même, ne pas inclure les dépenses correspondantes qui ne sont plus assurées, d'un point de vue comptable, par l'établissement. Ces montants seront réintégrés dans les données nationales au moment de leur publication. En revanche, prendre en compte dans le calcul de DepDepDoc le montant payé à l'ABES sur le budget de l’établissement au titre du groupement de commande (et qui a permis la déduction de TVA).;;Titre N1;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;;
;;;;MoyUnite;Budg1;;Montants HT, TTC, HTR;Amounts +/- tax or HTR;Indiquez si les montants sont notés HT, TTC ou HTR;Indicate whether the amounts entered are exclusive of tax, inclusive of tax or HTR.;Indiquer si les montants sont notés HT, TTC ou HTR : faire ce choix définitivement pour toutes les dépenses, y compris le groupe Dépenses documentaires. Le plus souvent, les organismes de recherche indiqueront leurs dépenses hors taxes (HT), les universités et grandes écoles toutes taxes comprises (TTC). Lorsque la TVA est déduite en totalité, le montant TTC = le montant HT. - Cas particulier des regroupements d’établissements - Pour les dépenses qui font l’objet d’une mutualisation au sein d’un regroupement d’établissements, trois méthodes sont détaillées ci-dessous. 1- Indiquer un prorata : cette méthode est pertinente si les dépenses font l’objet d’une clé de répartition entre les établissements. Indiquer la dépense à hauteur de ce prorata : si l’établissement ne participe pas au financement, indiquer 0. 2 - Indiquer la dépense pour un établissement : lorsque la dépense ne peut être répartie, seul l’établissement porteur de l’action à titre principal mentionne la dépense (porteur du marché, signataire de la facture, etc…). 3 - Le regroupement répond à l’ESGBU. Dans ce cas, les montants indiqués par le regroupement sont déduits des montants renseignés par les établissements qui lui sont rattachés. Ne pas intégrer dans les recettes les montants prélevés sur la dotation attribuée à l'établissement correspondant à sa participation financière à la licence nationale « Elsevier » , de même, ne pas inclure les dépenses correspondantes qui ne sont plus assurées, d'un point de vue comptable, par l'établissement. Ces montants seront réintégrés dans les données nationales au moment de leur publication. En revanche, prendre en compte dans le calcul de DepDepDoc le montant payé à l'ABES sur le budget de l’établissement au titre du groupement de commande (et qui a permis la déduction de TVA).;N;Saisie;;Liste non modifiable  choix unique;N;1;1;1;1;1;1;1;regex;;année civile;;;;;;;SD;valeur par défaut à NULL ? - pourait être remplacée par boutons radio;HT|TTC|HTR
;ressources humaines;;;;;;;Human resources;;;;;Titre N2;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;;
;;;;MoyETPT;Budg2;;ETPT consommés;Full time equiv. worked;Nombre d'ETPT consommés;Number of full time equivalents worked;Contrairement à l’ETP, qui considère la quotité de travail d’un agent à un instant donné, l’ETPT considère la quotité de travail de l’agent et sa durée d’activité au cours de l’année. Ainsi un agent à temps plein employé sur six mois ou un agent à mi-temps présent sur l’année entière seront comptabilités pour 0,5 ETPT. La consommation d’emplois s’apprécie de manière annuelle sur l’ensemble des implantations documentaires : il s’agit du nombre total d’heures travaillées y compris les congés payés divisé par la moyenne du nombre d’heures travaillées dans un emploi à temps plein (soit 1607h). Le nombre d’ETPT est le résultat de cette division. Les emplois de contractuels (notamment étudiants) sont compris dans le calcul. Toutes les situations de congés rémunérées (congés longue maladie, congés parentaux, congés formation...) ou d'absence doivent être comptabilisées dans le calcul des ETPT, exception faite des agents en congé de longue durée. Cette règle s'applique indépendamment du statut et de la filière des agents concernés. Les agents en situation de congés non rémunérés (congé de solidarité familiale…) ne doivent pas être comptabilisés. ;N;Saisie;;libre;N;1;1;1;1;1;1;1;dec2;ETPT;année civile;0;1 000;N-Bl;;-20 %;20 %;SD;;
;recettes;;;;;;;Revenue;;;Déduire du calcul des recettes l’ensemble des crédits venant accroitre la masse salariale.;;Titre N2;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;;
;;;;RecDroitsbib;Budg3;;Droits bibliothèque;Library fees;Droits de bibliothèque perçus;Library fees collected;Montant reversé au titre des droits de bibliothèques perçus lors des frais d’inscription. Déduire du calcul des recettes l’ensemble des crédits venant accroitre la masse salariale.;N;Saisie;;libre;N;1;1;1;1;1;1;1;dec2;€;année civile;0;5 000 000;N-Bl;;-40 %;40 %;SD;;
;;;;RecTutelle;Budg4;;Dotations établissement;Inst. budget allocat°s ;Dotations attribuées par l'établissement sur les moyens du ministère de tutelle;Budgets allocated by the institution out of the resources of the supervisory ministry;Soit pour les services documentaires d’université : part de la dotation globale annuelle et de la part performance attribuée à l’établissement et reversée à la structure documentaire. Soit pour les établissements : montant annuel de la dotation globale annuelle, et de la part performance si elle est applicable. Les moyens attribués via les regroupements d’établissements sont compris, sauf lorsqu’ils sont comptabilisés dans un groupe ESGBU rempli à part par le regroupement. Déduire du calcul des recettes l’ensemble des crédits venant accroitre la masse salariale.;N;Saisie;;libre;N;1;1;1;1;1;1;1;dec2;€;année civile;0;10 000 000;N-Bl;;-40 %;40 %;SD;;
;;;;RecCollTerr;Budg5;;Subventions Coll. Terr;Fund from local auth.;Subventions des collectivités territoriales;Funding from local and regional authorities;Montant pour l’année des subventions et autres participations financières accordées à titre régulier ou exceptionnel par une ou plusieurs collectivités territoriales. Déduire du calcul des recettes l’ensemble des crédits venant accroitre la masse salariale.;N;Saisie;;libre;N;1;1;1;1;1;1;1;dec2;€;année civile;0;2 000 000;N-Bl;;-40 %;40 %;SD;;
;;;;RecAutMin;Budg6;;Dotations autres ministères;Other Ministry funding ;Dotations en provenance d'autres ministères;Funding from other governement departments;Montant pour l’année des dotations, et tout type de financement sur crédits de l’État (hors MESRI). Déduire du calcul des recettes l’ensemble des crédits venant accroitre la masse salariale.;N;Saisie;;libre;N;1;1;1;1;1;1;1;dec2;€;année civile;0;2 000 000;N-Bl;;-40 %;40 %;SD;;
;;;;RecRessProp;Budg7;;Ressources propres;Own resources;Ressources propres;Own resources;Recettes provenant d’activités de prestation de service. Par exemple : PEB, amendes pour retard, droits d’inscription des usagers extérieurs. Sont comprises le cas échéant les recettes provenant d’une convention avec le MESRI ou à la suite d’appels à projet, ou bien de financements privés (ex : mécénat). Les dotations issues des regroupements d’établissements sont exclues (à inclure dans RecTutelle). Déduire du calcul des recettes l’ensemble des crédits venant accroitre la masse salariale.;N;Saisie;;libre;N;1;1;1;1;1;1;1;dec2;€;année civile;0;5 000 000;N-Bl;;-40 %;40 %;SD;;
;;;;RecAut;Budg8;;Autres recettes;Other resources;Autres recettes;Other resources ;Montant pour l’année de l’enquête des autres types de ressources régulières ou exceptionnelles. Déduire du calcul des recettes l’ensemble des crédits venant accroitre la masse salariale.;N;Saisie;;libre;N;1;1;1;1;1;1;1;dec2;€;année civile;0;10 000 000;N-Bl;;-40 %;40 %;SD;;
;;;;RecTot;nouveau;;Total recettes hors MS;Total resources excl. PR;Total des recettes hors masse salariale;Total resources excluding payroll;Total calculé;N;Calculée;RecDroitsbib + RecTutelle + RecCollTerr + RecAutMin + RecRessProp + RecAut;Non;N;1;1;1;1;1;1;1;dec2;€;année civile;;;;;;;SD;;
;;;;RecSalTot;nouveau;;Total recettes avec MS;Total resources incl. PR;Total des recettes avec masse salariale;Total resources including payroll;Total calculé;N;Calculée;RecDroitsbib + RecTutelle + RecCollTerr + RecAutMin + RecRessProp + RecAut + DepSalTit + DepSalNonTit + DepSalAut;Non;N;1;1;1;1;1;1;1;dec2;€;année civile;;;;;;;SD;;
;dépenses;;;;;;;Expenses;;;;;Titre N2;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;;
;;masse salariale;;;;;;Payroll (PR);;;;;Titre N3;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;;
;;;;DepSalTit;Budg9;;MS titulaires;PR of tenured staff;Masse salariale personnels titulaires;Payroll of tenured staff ;Tenir compte des personnels fonctionnaires, quelle que soit la filière. Inclut les cotisations patronales.;N;Saisie;;libre;N;1;1;1;1;1;1;1;dec2;€;année civile;0;20 000 000;N-Bl;;-20 %;20 %;SD;;
;;;;DepSalNonTit;Budg10;;MS non-titulaires;PR of non-tenured staff;Masse salariale personnels non titulaires (contractuels, vacataires...);Non-tenured staff payroll (contract workers, temporary workers, etc.);Tenir compte des autres personnels, vacataires ou contractuels. Inclut les cotisations patronales. Exclut la gratification des stagiaires.;N;Saisie;;libre;N;1;1;1;1;1;1;1;dec2;€;année civile;0;5 000 000;N-Bl;;-20 %;20 %;SD;;
;;;;DepSalAut;Budg17;;Autre MS;Other PR;Autre masse salariale (subventions, dotations spécifiques);Other payroll (subsidies, specific grants);Toute masse salariale qui n’est pas comptée dans DepSalTit et DepSalnonTit. Par exemple : les dotations spécifiques pour monitorat étudiant.;N;Saisie;;libre;N;0;0;1;1;1;1;1;dec2;€;année civile;0;2 000 000;N-Bl;;-20 %;20 %;SD;Variable créée en 2015 - absente en 2013 et 2014 - les formules de calcul tiennent compte de cette variable et pourraient renvoyer une erreur pour 2013 et 2014;
;;;;DepSalTot;nouveau;;Total MS;Total PR;Total de la masse salariale;Total payroll;Total calculé;;Calculée;DepSalTit + DepSalNonTit + DepSalAut;Non;N;;;;;;;;dec2;€;année civile;;;;;;;SD;;
;;autres dépenses;;;;;;Other expenses;;;;;Titre N3;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;;
;;;;DepDepDoc;Budg11;;Dépenses documentaires;Documentary spending;Dépenses affectées à l’acquisition de ressources documentaires (sur support physique ou immatériel, pour des acquisitions définitives, des abonnements ou des droits d’accès temporaires), à la conservation (frais de reliure, dépoussiérage, conservation préventive…) et à la numérisation réalisée en faisant appel à un prestataire.;Documentary expenditure; Inclut le montant payé à l'ABES sur le budget de l’établissement dans le cadre de la licence nationale « Elsevier ». Exclut les dépenses liées au PEB, ainsi que les dépenses d’abonnement pour des bases à usage exclusivement professionnel (à intégrer à DepAut).;N;Saisie;;libre;N;1;1;1;1;1;1;1;dec2;€;année civile;0;10 000 000;N-Bl;;-40 %;40 %;SD;;
;;;;DepMaintenance;Budg12;;Maintenance et fluides;Maintenance and utilities;Dépenses relevant du fonctionnement et maintenance du réseau informatique, des télécommunications, de la maintenance et de l’entretien des bâtiments (y compris alimentation électrique et chauffage). (d’après ISO 2789 2.6.3). ;Maintenance and utilities;Si aucune dépense de ce type n’est gérée par le service, indiquer 0.;N;Saisie;;libre;N;1;1;1;1;1;1;1;dec2;€;année civile;0;5 000 000;N-Bl;;-40 %;40 %;SD;;
;;;;DepAut;Budg13;;Autres dépenses de fonctionnement;Other operating costs;Autres dépenses relevant de la gestion courante de la bibliothèque (locations, stockage, remplacement de mobilier, fourniture de bureau, affranchissement). ;Other operating costs;Les dépenses liées aux déplacement, missions, formation professionnelle, les dépenses de valorisation,en dehors de la numérisation, les dépenses de PEB sont incluses. Les adhésions aux associations professionnelles sont exclues.;N;Saisie;;libre;N;1;1;1;1;1;1;1;dec2;€;année civile;0;5 000 000;N-Bl;;-40 %;40 %;SD;;
;;;;DepInv;Budg14;;Dépenses d'investissement;Investment expenses;Dépenses résultant de l’acquisition ou de l’augmentation d’immobilisations. ;Investment expenses;Inclut les dépenses concernant les bâtiments (constructions nouvelles ou extensions), le mobilier et les équipements pour les constructions nouvelles, les systèmes informatiques (logiciels et matériels). (ISO 2789 2.6.1);N;Saisie;;libre;N;1;1;1;1;1;1;1;dec2;€;année civile;0;5 000 000;N-Bl;;-40 %;40 %;SD;;
;;;;DepNCA;Budg15;;Dépenses NCA ou NV;Other non allocatable Expenses;Dépenses non comptées ailleurs ou non ventilées;Expenditure not allocated or counted elsewhere;En cas de groupement de commande, l’établissement porteur fait figurer le montant, part personnelle déduite, dans DepNCA (en précisant la commande dans les commentaires), et les remboursements des établissements participants dans « Autres recettes » (RecAut). Chaque établissement intègre sa part dans le calcul des dépenses documentaires (DepDepDoc).;N;Saisie;;libre;N;1;1;1;1;1;1;1;dec2;€;année civile;0;5 000 000;N-Bl;;-40 %;40 %;SD;;
;;;;DepAutTot;nouveau;;Total autres dépenses;Other expenses - Total;Total des autres dépenses;Other expenses - Total;Total calculé;;Calculée;DepDepDoc + DepMaintenance + DepAut + DepInv + DepNCA;Non;N;;;;;;;;dec2;€;année civile;;;;;;;SD;;
;;;;DepTot;nouveau;;Total dépenses SD;Total LS spending;Total des dépenses du service documentaire;Expenditure of Library service - Total;Total claculé;;Calculée;DepSalTit + DepSalNonTit + DepSalAut + DepDepDoc + DepMaintenance + DepAut + DepInv + DepNCA;Non;N;;;;;;;;dec2;€;année civile;;;;;;;SD;;
